Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
There are number0 cards . number1 cards more are added . How many are there total ?,9.0 4.0,+ number0 number1,13.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 cards . number1 cards more are added .,How many are there total ?,There are 3730 cards . 3731 cards more are added . How many are there total ?,3730개의 카드가 있습니다. 3731개의 카드가 더 추가됩니다. 총 몇 개입니까?,number0개의 카드가 있습니다 . number1개의 카드가 더 추가됩니다 . 총 몇 개입니까 ?,"[0, 1, 3, 4, 5, 9, 10, 11]"
"April 's discount flowers was having a sale where each rose was number0 dollars . If April started with number1 roses and had number2 roses left , how much money did she earn ?",4.0 13.0 4.0,* number0 - number1 number0,36.0,"[11, 12, 13, 18, 19, 20, 22, 23, 24, 30, 31, 32]","April 's discount flowers was having a sale where each rose was number0 dollars . If April started with number1 roses and had number2 roses left ,",how much money did she earn ?,"April 's discount flowers was having a sale where each rose was 3730 dollars . If April started with 3731 roses and had 3732 roses left , how much money did she earn ?","만약 에이프릴의 할인 꽃들은 각각의 장미가 3730달러인 세일을 하고 있었다. 만약 에이프릴이 3731개의 장미로 시작해서 3732개의 장미가 남았다면, 그녀는 얼마나 많은 돈을 벌었을까?","만약 에이프릴의 할인 꽃들은 각각의 장미가 number0달러인 세일을 하고 있었다 . 만약 에이프릴이 number1개의 장미로 시작해서 number2개의 장미가 남았다면 , 그녀는 얼마나 많은 돈을 벌었을까 ?","[5, 6, 7, 12, 13, 14, 15, 16, 17, 22, 23, 24]"
A garden has number0 rows and number1 columns of bean plans . How many plants are there in all ?,52.0 15.0,* number0 number1,780.0,"[2, 3, 4, 5, 6, 7, 16, 17, 18]",A garden has number0 rows and number1 columns of bean plans .,How many plants are there in all ?,A garden has 3730 rows and 3731 columns of bean plans . How many plants are there in all ?,정원은 3730줄과 3731줄의 콩밭을 가지고 있다. 모두 몇 개의 식물이 있습니까?,정원은 number0줄과 number1줄의 콩밭을 가지고 있다 . 모두 몇 개의 식물이 있습니까 ?,"[0, 1, 2, 3, 9, 10, 11]"
Lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon . How many shells did he pick up in all ?,292.0 324.0,+ number0 number1,616.0,"[2, 3, 4, 11, 12, 13, 24, 25, 26]",Lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon .,How many shells did he pick up in all ?,Anderson picked up 3730 shells at the seashore in the morning and 3731 shells in the afternoon . How many shells did he pick up in all ?,앤더슨은 아침에 바닷가에서 3730개의 조개껍질을 주웠고 오후에는 3731개의 조개껍질을 주웠다. 그는 총 몇 개의 조개껍질을 집었습니까?,윤재는 아침에 바닷가에서 number0개의 조개껍질을 주웠고 오후에는 number1개의 조개껍질을 주웠다 . 그는 총 몇 개의 조개껍질을 집었습니까 ?,"[2, 3, 4, 6, 7, 8, 14, 15, 16]"
number0 birds were sitting in a tree . number1 more birds flew up to the tree . How many birds were there altogether in the tree ?,14.0 21.0,+ number0 number1,35.0,"[0, 1, 7, 8, 9, 23, 24, 25]",number0 birds were sitting in a tree . number1 more birds flew up to the tree .,How many birds were there altogether in the tree ?,3730 birds were sitting in a tree . 3731 more birds flew up to the tree . How many birds were there altogether in the tree ?,3730마리의 새들이 나무에 앉아있었다. 3731마리의 새들이 나무위로 날아올랐다. 그 나무에는 모두 몇 마리의 새들이 있었습니까?,number0마리의 새들이 나무에 앉아있었다 . number1마리의 새들이 나무위로 날아올랐다 . 그 나무에는 모두 몇 마리의 새들이 있었습니까 ?,"[0, 1, 4, 5, 6, 14, 15, 16]"
Zach scored number0 points in the football game . Ben scored number1 points . How many more points did Zach score ?,42.0 21.0,- number0 number1,21.0,"[1, 2, 3, 10, 11, 12, 18, 19, 20]",Zach scored number0 points in the football game . Ben scored number1 points .,How many more points did Zach score ?,Anderson scored 3730 points in the football game . Cyndia scored 3731 points . How many more points did Anderson score ?,앤더슨은 축구 경기에서 3730점을 득점하였다. 신디아는 3731점을 득점하였다. 앤더슨은 몇 점을 더 득점했나요?,민우는 축구 경기에서 number0점을 득점하였다 . 서희는 number1점을 득점하였다 . 민우는 몇 점을 더 득점했나요 ?,"[2, 3, 4, 6, 7, 8, 12, 13, 14]"
number0 students were sitting at each table in the lunchroom . There are number1 tables . How many students were sitting in the lunchroom ?,6.0 34.0,* number0 number1,204.0,"[0, 1, 12, 13, 14, 21, 22, 23]",number0 students were sitting at each table in the lunchroom . There are number1 tables .,How many students were sitting in the lunchroom ?,3730 students were sitting at each table in the lunchroom . There are 3731 tables . How many students were sitting in the lunchroom ?,3730명의 학생들이 점심식사실의 각 테이블에 앉아있었다. 3731개의 테이블이 있습니다. 얼마나 많은 학생들이 점심방에 앉아 있었습니까?,number0명의 학생들이 점심식사실의 각 테이블에 앉아있었다 . number1개의 테이블이 있습니다 . 얼마나 많은 학생들이 점심방에 앉아 있었습니까 ?,"[0, 1, 6, 7, 8, 14, 15, 16]"
"At Tom 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?",2.0 5.0 8.0,* number2 + number0 number1,56.0,"[6, 7, 8, 9, 10, 11, 20, 21, 22, 26, 27, 28]","At Tom 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars ,",how much was the bill ?,"At Anderson 's Restaurant a group with 3730 adults and 3731 children came in to eat . If each meal cost 3732 dollars , how much was the bill ?",앤더슨 레스토랑에서 성인 3730명과 어린이 3731명이 식사를 하러 왔다. 만약 식사가 3732달러라면 계산은 얼마였는가?,서희 레스토랑에서 성인 number0명과 어린이 number1명이 식사를 하러 왔다 . 만약 식사가 number2달러라면 계산은 얼마였는가 ?,"[2, 3, 4, 5, 6, 11, 12, 12, 13, 13, 14]"
Megan had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Megan end up with ?,93.0 21.0 8.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21, 31, 32, 33]",Megan had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one .,How many folders did Megan end up with ?,Anderson had 3730 files on her computer . She deleted 3731 of them and put the rest into folders with 3732 files in each one . How many folders did Anderson end up with ?,앤더슨은 그녀의 컴퓨터에 3730개의 파일이 있었다. 그녀는 그것들 중 3731개를 삭제하고 나머지는 각각 3732개의 파일이 있는 폴더에 넣었다. 앤더슨은 몇 개의 폴더를 갖게 되었습니까?,정현은 그녀의 컴퓨터에 number0개의 파일이 있었다 . 그녀는 그것들 중 number1개를 삭제하고 나머지는 각각 number2개의 파일이 있는 폴더에 넣었다 . 정현은 몇 개의 폴더를 갖게 되었습니까 ?,"[2, 3, 4, 9, 10, 11, 13, 14, 15, 23, 24, 25]"
"Betty has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",24.0 3.0,/ number0 number1,8.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Betty has number0 oranges stored in boxes . If there are number1 boxes ,",how many oranges must go in each box ?,"Anderson has 3730 oranges stored in boxes . If there are 3731 boxes , how many oranges must go in each box ?","Anderson은 3730개의 오렌지를 박스에 보관합니다. 3731개의 박스가 있다면, 얼마나 많은 오렌지가 각 박스에 들어가야만 합니까?","윤재는 number0개의 오렌지를 박스에 보관합니다 . number1개의 박스가 있다면 , 얼마나 많은 오렌지가 각 박스에 들어가야만 합니까 ?","[0, 1, 2, 5, 6, 7, 14, 15, 16]"
Students went to a concert in number0 buses . Each bus took number1 students . How many students went to the concert ?,8.0 45.0,* number0 number1,360.0,"[5, 6, 7, 11, 12, 13, 19, 20, 21]",Students went to a concert in number0 buses . Each bus took number1 students .,How many students went to the concert ?,Students went to a concert in 3730 buses . Each bus took 3731 students . How many students went to the concert ?,학생들은 3730대의 버스를 타고 콘서트에 갔다. 각 버스는 3731명의 학생을 태웠다. 얼마나 많은 학생들이 콘서트에 갔습니까?,학생들은 number0대의 버스를 타고 콘서트에 갔다 . 각 버스는 number1명의 학생을 태웠다 . 얼마나 많은 학생들이 콘서트에 갔습니까 ?,"[0, 1, 2, 8, 9, 10, 15, 16, 17]"
Alyssa has number0 books . Nancy has number1 times more books than Alyssa . How many books does Nancy have ?,36.0 7.0,* number0 number1,252.0,"[1, 2, 3, 6, 7, 8, 19, 20, 21]",Alyssa has number0 books . Nancy has number1 times more books than Alyssa .,How many books does Nancy have ?,Anderson has 3730 books . Cyndia has 3731 times more books than Anderson . How many books does Cyndia have ?,앤더슨은 3730권의 책을 가지고 있다. 신디아는 앤더슨보다 3731배나 더 많은 책을 가지고 있다. 신디아는 얼마나 많은 책을 가지고 있니?,지현은 number0권의 책을 가지고 있다 . 정현은 지현보다 number1배나 더 많은 책을 가지고 있다 . 정현은 얼마나 많은 책을 가지고 있니 ?,"[0, 1, 2, 7, 8, 9, 18, 19, 20]"
"Joe has number0 oranges that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Joe . If there are number2 boxes , how many oranges must go in each box ?",45.0 16.0 9.0,/ number0 number2,5.0,"[1, 2, 3, 17, 18, 19, 27, 28, 29, 36, 37, 38]","Joe has number0 oranges that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Joe . If there are number2 boxes ,",how many oranges must go in each box ?,"Anderson has 3730 oranges that must be put away in boxes . Cyndia comes to help and brings 3731 cookies to share with Anderson . If there are 3732 boxes , how many oranges must go in each box ?","앤더슨은 3730개의 오렌지를 가지고 있습니다. 신디아는 도움을 주기 위해 왔고 앤더슨과 공유할 3731개의 쿠키를 가지고 왔습니다. 만약 3732개의 상자가 있다면, 각 상자에 얼마나 많은 오렌지가 들어가야 합니까?","지현은 number0개의 오렌지를 가지고 있습니다 . 민우는 도움을 주기 위해 왔고 지현과 공유할 number1개의 쿠키를 가지고 왔습니다 . 만약 number2개의 상자가 있다면 , 각 상자에 얼마나 많은 오렌지가 들어가야 합니까 ?","[0, 1, 2, 12, 13, 14, 18, 19, 20, 27, 28, 29]"
Patricia starts with number0 candies . Albert takes number1 away . How many candies does Patricia end with ?,76.0 5.0,- number0 number1,71.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",Patricia starts with number0 candies . Albert takes number1 away .,How many candies does Patricia end with ?,Anderson starts with 3730 candies . Cyndia takes 3731 away . How many candies does Anderson end with ?,앤더슨은 3730개의 사탕으로 시작한다. 신디아는 3731개의 사탕을 가져간다. 앤더슨은 사탕을 몇 개로 끝냅니까?,민우는 number0개의 사탕으로 시작한다 . 서희는 number1개의 사탕을 가져간다 . 민우는 사탕을 몇 개로 끝냅니까 ?,"[0, 1, 2, 5, 6, 7, 12, 13, 14]"
"Joyce has number0 eggs . Marie gives Joyce number1 more . Later , Joyce buys number2 erasers at the store . How many eggs does Joyce have in all ?",8.0 6.0 13.0,+ number0 number1,14.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 26, 27, 28]","Joyce has number0 eggs . Marie gives Joyce number1 more . Later , Joyce buys number2 erasers at the store .",How many eggs does Joyce have in all ?,"Anderson has 3730 eggs . Cyndia gives Anderson 3731 more . Later , Anderson buys 3732 erasers at the store . How many eggs does Anderson have in all ?","앤더슨은 3730개의 달걀을 가지고 있다. 신디아는 앤더슨에게 3731개의 더 준다. 나중에, 앤더슨은 가게에서 3732개의 지우개를 산다. 앤더슨은 모두 몇 개의 달걀을 가지고 있습니까?","지현은 number0개의 달걀을 가지고 있다 . 윤재는 지현에게 number1개의 더 준다 . 나중에 , 지현은 가게에서 number2개의 지우개를 산다 . 지현은 모두 몇 개의 달걀을 가지고 있습니까 ?","[0, 1, 2, 7, 8, 9, 15, 16, 17, 24, 25, 26]"
"Tammy drove number0 miles in one hour . At that rate , how far can she drive in number1 hours ?",55.0 36.0,* number0 number1,1980.0,"[1, 2, 3, 17, 18, 19, 17, 18, 19]","Tammy drove number0 miles in one hour . At that rate ,",how far can she drive in number1 hours ?,"Anderson drove 3730 miles in one hour . At that rate , how far can she drive in 3731 hours ?","앤더슨은 한 시간에 3730마일을 운전했다. 그 속도로, 그녀는 3731시간에 얼마나 멀리 운전할 수 있는가?","윤재는 한 시간에 number0마일을 운전했다 . 그 속도로 , 그녀는 number1시간에 얼마나 멀리 운전할 수 있는가 ?","[2, 3, 4, 9, 10, 11, 13, 14, 15]"
